ECLI,jaartal_delict,jaartal_uitspraak,regionale_eenheid,veroordeling,tenlastelegging,modus_operandi,geslacht_dader,geslacht_slachtoffer,strafmaat,moord_of_doodslag,verweer_verdediging,bewijstypen,aanleiding,gedraging,gevolg
ECLI:NL:HR:2021:6352,2010,2012,Rotterdam,Moord,Moord,Wurging,Vrouw,Man,20,Doodslag,Noodweer,Observatie,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:RBDHA:2023:4219,2015,2019,Oost-Nederland,Poging tot moord,Doodslag,Mes,Man,Vrouw,15,Doodslag,Ontkenning,Getuigenverklaring,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:HR:2016:8897,2010,2015,Rotterdam,Moord,Doodslag,Anders,Man,Vrouw,20,Doodslag,Ontkenning,Bekentenis,Ruzie,Verstikking,Dood direct
ECLI:NL:GHARL:2020:1927,2022,2018,Oost-Nederland,Doodslag,Moord,Mes,Man,Man,12,Doodslag,Ontkenning,Bekentenis,Wraak,Slag met voorwerp,Dood direct
ECLI:NL:GHARL:2021:2691,2020,2022,Amsterdam,Moord,Poging tot moord,Mes,Man,Man,12,Doodslag,Geen verweer,Bekentenis,Psychose,Verstikking,Dood later
ECLI:NL:RBDHA:2015:4415,2016,2013,Oost-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,20,Doodslag,Noodweer,Bekentenis,Wraak,Slag met voorwerp,Dood later
ECLI:NL:PHR:2023:1843,2021,2014,Midden-Nederland,Doodslag,Moord,Vuurwapen,Man,Vrouw,20,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:GHARL:2023:3358,2021,2022,Rotterdam,Doodslag,Doodslag,Wurging,Vrouw,Vrouw,10,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Vergiftiging,Dood direct
ECLI:NL:PHR:2020:2746,2014,2021,Rotterdam,Doodslag,Doodslag,Mes,Man,Man,8,Doodslag,Ontkenning,Observatie,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:HR:2020:8105,2011,2021,Oost-Nederland,Vrijspraak,Moord,Mes,Man,Man,15,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:HR:2016:6047,2013,2011,Noord-Nederland,Moord,Moord,Wurging,Man,Man,15,Doodslag,Noodweer,Bekentenis,Financieel,Verstikking,Dood direct
ECLI:NL:GHARL:2018:1049,2018,2015,Noord-Nederland,Doodslag,Moord,Vuurwapen,Man,Man,15,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:PHR:2016:1503,2013,2017,Amsterdam,Doodslag,Poging tot moord,Mes,Vrouw,Man,8,Doodslag,Geen verweer,Observatie,Financieel,Slag met voorwerp,Dood later
ECLI:NL:RBDHA:2016:8827,2016,2021,Oost-Nederland,Poging tot moord,Poging tot moord,Wurging,Man,Vrouw,20,Doodslag,Noodweer,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:PHR:2017:7887,2017,2012,Amsterdam,Moord,Doodslag,Wurging,Man,Man,8,Moord,Ontkenning,Observatie,Relatieproblemen,Slag met voorwerp,Dood later
ECLI:NL:PHR:2019:8745,2010,2021,Midden-Nederland,Moord,Doodslag,Anders,Man,Man,10,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:RBDHA:2018:8935,2012,2019,Midden-Nederland,Doodslag,Poging tot moord,Mes,Man,Vrouw,20,Moord,Ontkenning,Getuigenverklaring,Wraak,Slag met voorwerp,Geen letsel
ECLI:NL:PHR:2019:6637,2021,2015,Oost-Nederland,Doodslag,Doodslag,Mes,Man,Man,12,Doodslag,Noodweer,Forensisch bewijs,Psychose,Steekpartij,Dood direct
ECLI:NL:GHARL:2022:8579,2014,2020,Midden-Nederland,Moord,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Noodweer,Bekentenis,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2016:4161,2011,2020,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Vrouw,8,Doodslag,Geen verweer,Bekentenis,Relatieproblemen,Steekpartij,Dood direct
ECLI:NL:PHR:2016:5639,2010,2022,Noord-Nederland,Doodslag,Moord,Vuurwapen,Vrouw,Man,15,Moord,Noodweer,Observatie,Ruzie,Vergiftiging,Dood direct
ECLI:NL:HR:2023:3870,2013,2013,Midden-Nederland,Moord,Moord,Mes,Man,Man,10,Doodslag,Geen verweer,Getuigenverklaring,Wraak,Steekpartij,Dood direct
ECLI:NL:PHR:2015:1263,2018,2017,Oost-Nederland,Moord,Moord,Wurging,Man,Vrouw,8,Doodslag,Noodweer,Observatie,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:HR:2018:1204,2016,2024,Noord-Nederland,Doodslag,Poging tot moord,Mes,Vrouw,Man,20,Doodslag,Ontkenning,Bekentenis,Wraak,Schietpartij,Dood later
ECLI:NL:HR:2020:1260,2021,2012,Amsterdam,Moord,Moord,Mes,Man,Man,20,Moord,Geen verweer,Getuigenverklaring,Ruzie,Slag met voorwerp,Zwaar gewond
ECLI:NL:PHR:2019:8053,2015,2019,Noord-Nederland,Doodslag,Poging tot moord,Wurging,Man,Vrouw,12,Moord,Geen verweer,Bekentenis,Financieel,Schietpartij,Dood later
ECLI:NL:PHR:2023:2267,2017,2022,Amsterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Vergiftiging,Dood later
ECLI:NL:RBDHA:2018:7849,2021,2020,Rotterdam,Doodslag,Doodslag,Anders,Man,Man,10,Moord,Noodweer,Bekentenis,Ruzie,Schietpartij,Dood later
ECLI:NL:RBDHA:2018:1645,2011,2012,Rotterdam,Doodslag,Poging tot moord,Vergif,Man,Man,12,Doodslag,Ontkenning,Observatie,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:HR:2021:5904,2019,2015,Oost-Nederland,Moord,Doodslag,Anders,Man,Man,12,Doodslag,Ontkenning,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:RBDHA:2021:7751,2011,2012,Amsterdam,Vrijspraak,Doodslag,Vuurwapen,Man,Man,15,Moord,Ontkenning,Bekentenis,Ruzie,Schietpartij,Zwaar gewond
ECLI:NL:HR:2016:1093,2018,2023,Oost-Nederland,Doodslag,Poging tot moord,Vergif,Man,Vrouw,12,Moord,Ontkenning,Bekentenis,Relatieproblemen,Vergiftiging,Dood direct
ECLI:NL:RBDHA:2020:1890,2012,2012,Oost-Nederland,Poging tot moord,Moord,Wurging,Man,Vrouw,8,Moord,Geen verweer,Getuigenverklaring,Psychose,Schietpartij,Dood direct
ECLI:NL:PHR:2018:3216,2020,2018,Midden-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,10,Moord,Noodweer,Forensisch bewijs,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:RBDHA:2017:7012,2016,2014,Rotterdam,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,12,Moord,Ontkenning,Observatie,Financieel,Steekpartij,Dood direct
ECLI:NL:PHR:2019:7679,2011,2020,Amsterdam,Poging tot moord,Poging tot moord,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Steekpartij,Dood direct
ECLI:NL:PHR:2016:7360,2019,2014,Oost-Nederland,Poging tot moord,Moord,Mes,Vrouw,Man,20,Doodslag,Ontkenning,Bekentenis,Ruzie,Steekpartij,Dood direct
ECLI:NL:HR:2015:8956,2019,2023,Oost-Nederland,Moord,Moord,Wurging,Man,Vrouw,20,Moord,Geen verweer,Forensisch bewijs,Relatieproblemen,Verstikking,Zwaar gewond
ECLI:NL:HR:2016:3972,2010,2015,Rotterdam,Doodslag,Moord,Wurging,Man,Man,10,Moord,Ontkenning,Forensisch bewijs,Ruzie,Verstikking,Dood later
ECLI:NL:PHR:2021:8056,2016,2024,Rotterdam,Doodslag,Poging tot moord,Wurging,Man,Vrouw,20,Doodslag,Geen verweer,Observatie,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2018:6670,2020,2019,Oost-Nederland,Doodslag,Moord,Wurging,Man,Man,20,Moord,Geen verweer,Forensisch bewijs,Relatieproblemen,Vergiftiging,Dood later
ECLI:NL:HR:2017:6309,2012,2014,Noord-Nederland,Poging tot moord,Moord,Vuurwapen,Man,Man,20,Doodslag,Noodweer,Observatie,Psychose,Verstikking,Geen letsel
ECLI:NL:HR:2021:4445,2013,2016,Rotterdam,Doodslag,Moord,Mes,Man,Man,12,Moord,Noodweer,Getuigenverklaring,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:RBDHA:2019:7030,2014,2022,Oost-Nederland,Moord,Doodslag,Vuurwapen,Man,Man,15,Doodslag,Noodweer,Bekentenis,Psychose,Steekpartij,Geen letsel
ECLI:NL:RBDHA:2017:3211,2014,2017,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Vrouw,Vrouw,20,Doodslag,Geen verweer,Getuigenverklaring,Financieel,Verstikking,Dood direct
ECLI:NL:GHARL:2018:1058,2015,2015,Oost-Nederland,Doodslag,Doodslag,Vergif,Man,Man,8,Doodslag,Noodweer,Forensisch bewijs,Financieel,Vergiftiging,Dood later
ECLI:NL:HR:2020:1036,2022,2013,Rotterdam,Doodslag,Moord,Vuurwapen,Man,Man,20,Doodslag,Noodweer,Forensisch bewijs,Ruzie,Steekpartij,Zwaar gewond
ECLI:NL:HR:2022:8338,2016,2011,Midden-Nederland,Doodslag,Doodslag,Mes,Man,Man,8,Doodslag,Noodweer,Forensisch bewijs,Wraak,Schietpartij,Dood direct
ECLI:NL:PHR:2015:8420,2021,2019,Midden-Nederland,Moord,Poging tot moord,Wurging,Vrouw,Vrouw,20,Doodslag,Ontkenning,Observatie,Wraak,Verstikking,Dood later
ECLI:NL:HR:2017:1222,2021,2018,Noord-Nederland,Doodslag,Doodslag,Vergif,Man,Man,15,Doodslag,Geen verweer,Observatie,Relatieproblemen,Schietpartij,Dood later
ECLI:NL:HR:2018:6715,2015,2014,Rotterdam,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,12,Doodslag,Noodweer,Observatie,Financieel,Schietpartij,Dood direct
ECLI:NL:HR:2018:9585,2015,2022,Rotterdam,Poging tot moord,Moord,Mes,Man,Vrouw,8,Doodslag,Noodweer,Forensisch bewijs,Relatieproblemen,Slag met voorwerp,Dood later
ECLI:NL:HR:2016:6968,2017,2018,Amsterdam,Moord,Moord,Vergif,Man,Vrouw,8,Doodslag,Noodweer,Observatie,Financieel,Slag met voorwerp,Dood later
ECLI:NL:GHARL:2019:3446,2014,2016,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Vrouw,12,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Vergiftiging,Dood later
ECLI:NL:GHARL:2018:4451,2013,2014,Rotterdam,Doodslag,Doodslag,Vuurwapen,Man,Vrouw,15,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Slag met voorwerp,Zwaar gewond
ECLI:NL:RBDHA:2017:5015,2011,2011,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Man,12,Moord,Geen verweer,Observatie,Wraak,Slag met voorwerp,Zwaar gewond
ECLI:NL:RBDHA:2020:1288,2013,2011,Midden-Nederland,Vrijspraak,Poging tot moord,Vuurwapen,Man,Vrouw,10,Moord,Ontkenning,Forensisch bewijs,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:HR:2022:9324,2012,2021,Noord-Nederland,Vrijspraak,Poging tot moord,Vuurwapen,Man,Man,12,Doodslag,Ontkenning,Getuigenverklaring,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:HR:2016:8908,2022,2012,Amsterdam,Poging tot moord,Moord,Vuurwapen,Man,Vrouw,8,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:PHR:2023:4445,2022,2012,Rotterdam,Doodslag,Poging tot moord,Vuurwapen,Man,Vrouw,10,Doodslag,Geen verweer,Forensisch bewijs,Ruzie,Schietpartij,Dood direct
ECLI:NL:PHR:2020:1227,2019,2024,Noord-Nederland,Doodslag,Poging tot moord,Mes,Man,Vrouw,10,Doodslag,Geen verweer,Observatie,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:PHR:2020:4769,2011,2020,Noord-Nederland,Doodslag,Moord,Vuurwapen,Man,Man,20,Moord,Noodweer,Bekentenis,Wraak,Verstikking,Dood direct
ECLI:NL:PHR:2022:9000,2012,2021,Noord-Nederland,Doodslag,Doodslag,Vuurwapen,Vrouw,Vrouw,12,Doodslag,Ontkenning,Forensisch bewijs,Ruzie,Verstikking,Zwaar gewond
ECLI:NL:GHARL:2023:228,2011,2018,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Getuigenverklaring,Financieel,Verstikking,Dood later
ECLI:NL:GHARL:2016:2300,2012,2013,Oost-Nederland,Moord,Moord,Anders,Man,Man,10,Moord,Ontkenning,Observatie,Relatieproblemen,Verstikking,Dood later
ECLI:NL:GHARL:2016:1853,2017,2012,Rotterdam,Moord,Doodslag,Vuurwapen,Man,Vrouw,15,Doodslag,Geen verweer,Bekentenis,Psychose,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2019:4716,2017,2023,Oost-Nederland,Vrijspraak,Doodslag,Anders,Man,Man,8,Moord,Noodweer,Getuigenverklaring,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:PHR:2020:3435,2015,2019,Midden-Nederland,Doodslag,Doodslag,Vergif,Vrouw,Vrouw,20,Moord,Geen verweer,Bekentenis,Relatieproblemen,Steekpartij,Dood direct
ECLI:NL:GHARL:2023:8104,2016,2012,Amsterdam,Doodslag,Doodslag,Mes,Man,Vrouw,20,Doodslag,Ontkenning,Getuigenverklaring,Ruzie,Steekpartij,Dood later
ECLI:NL:GHARL:2015:1612,2011,2022,Midden-Nederland,Doodslag,Poging tot moord,Mes,Vrouw,Man,8,Doodslag,Noodweer,Getuigenverklaring,Wraak,Slag met voorwerp,Geen letsel
ECLI:NL:RBDHA:2019:822,2018,2022,Amsterdam,Moord,Moord,Wurging,Man,Man,12,Moord,Noodweer,Forensisch bewijs,Ruzie,Slag met voorwerp,Dood direct
ECLI:NL:HR:2020:2243,2015,2012,Oost-Nederland,Doodslag,Moord,Mes,Man,Vrouw,8,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Steekpartij,Dood direct
ECLI:NL:GHARL:2017:7339,2022,2015,Noord-Nederland,Doodslag,Moord,Wurging,Man,Man,15,Moord,Noodweer,Forensisch bewijs,Psychose,Steekpartij,Dood direct
ECLI:NL:RBDHA:2023:258,2013,2021,Noord-Nederland,Vrijspraak,Moord,Vergif,Man,Man,20,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Vergiftiging,Zwaar gewond
ECLI:NL:HR:2016:2542,2017,2014,Rotterdam,Doodslag,Poging tot moord,Mes,Vrouw,Vrouw,20,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Steekpartij,Dood later
ECLI:NL:HR:2020:9643,2014,2018,Oost-Nederland,Moord,Doodslag,Mes,Vrouw,Man,8,Moord,Noodweer,Forensisch bewijs,Ruzie,Steekpartij,Zwaar gewond
ECLI:NL:PHR:2021:2188,2017,2015,Oost-Nederland,Moord,Poging tot moord,Vuurwapen,Man,Vrouw,20,Doodslag,Ontkenning,Observatie,Relatieproblemen,Verstikking,Dood direct
ECLI:NL:HR:2019:6074,2014,2015,Noord-Nederland,Doodslag,Doodslag,Wurging,Vrouw,Man,15,Doodslag,Ontkenning,Bekentenis,Wraak,Slag met voorwerp,Geen letsel
ECLI:NL:HR:2020:3541,2011,2018,Noord-Nederland,Doodslag,Doodslag,Anders,Man,Vrouw,10,Doodslag,Ontkenning,Getuigenverklaring,Wraak,Schietpartij,Zwaar gewond
ECLI:NL:PHR:2016:5894,2011,2011,Amsterdam,Doodslag,Doodslag,Vuurwapen,Man,Man,12,Doodslag,Ontkenning,Forensisch bewijs,Relatieproblemen,Schietpartij,Zwaar gewond
ECLI:NL:RBDHA:2017:3978,2012,2012,Amsterdam,Poging tot moord,Poging tot moord,Anders,Man,Vrouw,8,Doodslag,Ontkenning,Bekentenis,Ruzie,Verstikking,Dood direct
ECLI:NL:PHR:2017:6855,2022,2024,Oost-Nederland,Vrijspraak,Moord,Wurging,Man,Vrouw,8,Doodslag,Geen verweer,Forensisch bewijs,Relatieproblemen,Vergiftiging,Zwaar gewond
ECLI:NL:HR:2017:5542,2020,2013,Noord-Nederland,Doodslag,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Ontkenning,Observatie,Psychose,Schietpartij,Dood later
ECLI:NL:RBDHA:2018:4471,2014,2024,Amsterdam,Doodslag,Moord,Mes,Man,Man,15,Doodslag,Ontkenning,Getuigenverklaring,Financieel,Schietpartij,Zwaar gewond
ECLI:NL:PHR:2016:6367,2021,2011,Midden-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,20,Doodslag,Noodweer,Observatie,Wraak,Slag met voorwerp,Dood direct
ECLI:NL:HR:2022:3744,2021,2024,Amsterdam,Vrijspraak,Poging tot moord,Mes,Man,Vrouw,10,Moord,Ontkenning,Getuigenverklaring,Psychose,Steekpartij,Dood later
ECLI:NL:PHR:2022:5828,2019,2015,Amsterdam,Doodslag,Doodslag,Mes,Man,Man,12,Doodslag,Ontkenning,Observatie,Wraak,Vergiftiging,Dood later
ECLI:NL:GHARL:2018:3752,2010,2016,Amsterdam,Doodslag,Moord,Vuurwapen,Vrouw,Man,15,Doodslag,Noodweer,Getuigenverklaring,Ruzie,Verstikking,Dood direct
ECLI:NL:HR:2018:6628,2013,2023,Noord-Nederland,Vrijspraak,Doodslag,Anders,Man,Man,15,Doodslag,Noodweer,Forensisch bewijs,Financieel,Steekpartij,Dood later
ECLI:NL:GHARL:2019:1237,2015,2021,Noord-Nederland,Doodslag,Poging tot moord,Vuurwapen,Man,Man,12,Moord,Geen verweer,Forensisch bewijs,Psychose,Vergiftiging,Dood later
ECLI:NL:GHARL:2020:8446,2012,2016,Amsterdam,Vrijspraak,Poging tot moord,Vuurwapen,Vrouw,Man,10,Doodslag,Geen verweer,Forensisch bewijs,Psychose,Schietpartij,Dood direct
ECLI:NL:RBDHA:2023:5525,2011,2017,Noord-Nederland,Vrijspraak,Doodslag,Wurging,Man,Vrouw,8,Moord,Ontkenning,Getuigenverklaring,Relatieproblemen,Schietpartij,Dood direct
ECLI:NL:HR:2016:4379,2021,2022,Rotterdam,Moord,Poging tot moord,Mes,Man,Man,8,Moord,Geen verweer,Observatie,Financieel,Vergiftiging,Geen letsel
ECLI:NL:PHR:2019:726,2013,2012,Amsterdam,Vrijspraak,Doodslag,Vuurwapen,Man,Man,8,Doodslag,Noodweer,Observatie,Relatieproblemen,Steekpartij,Dood direct
ECLI:NL:HR:2021:5763,2015,2012,Rotterdam,Doodslag,Poging tot moord,Mes,Man,Man,10,Moord,Geen verweer,Forensisch bewijs,Financieel,Steekpartij,Dood direct
ECLI:NL:GHARL:2021:8479,2016,2024,Amsterdam,Doodslag,Moord,Vergif,Man,Vrouw,20,Doodslag,Ontkenning,Getuigenverklaring,Psychose,Schietpartij,Dood later
ECLI:NL:HR:2021:9546,2018,2023,Amsterdam,Moord,Poging tot moord,Vergif,Man,Vrouw,20,Doodslag,Ontkenning,Forensisch bewijs,Financieel,Steekpartij,Dood direct
ECLI:NL:PHR:2019:827,2010,2011,Amsterdam,Doodslag,Moord,Mes,Man,Man,15,Moord,Ontkenning,Getuigenverklaring,Financieel,Steekpartij,Dood direct
ECLI:NL:RBDHA:2015:8618,2020,2011,Noord-Nederland,Vrijspraak,Poging tot moord,Vergif,Man,Man,8,Moord,Ontkenning,Bekentenis,Psychose,Verstikking,Dood direct
ECLI:NL:PHR:2020:7166,2014,2024,Noord-Nederland,Vrijspraak,Moord,Vuurwapen,Man,Man,20,Moord,Ontkenning,Bekentenis,Psychose,Vergiftiging,Dood direct
ECLI:NL:HR:2020:5243,2014,2013,Midden-Nederland,Doodslag,Moord,Mes,Vrouw,Man,15,Moord,Ontkenning,Forensisch bewijs,Ruzie,Schietpartij,Geen letsel
